metro,population
"Princeton, NJ",30168
New York Metro Area,20320876
"New Brunswick, NJ",56910
"New Haven, CT",860435
"Greater Boston, MA",4836531
"Greater Philadelphia, PA",6096120
"Springfield, MA",631652
"Providence, RI",1621122
"Hanover, PA",15561
"Ann Arbor, MI",367627
"Hartford, CT",1210259
"Lehigh Valley, NJ-PA",840550
"Williamstown, MA",7758
"Ithaca, NY",104802
"Worcester, MA",942475
"Swarthmore, PA",6239
"Lewisburg, PA",5699
"State College, PA",162660
"Harrisburg-Carlisle, PA",647390
"Newark, DE",33398
"Lancaster, PA",59218
"Charlottesville, VA",233793
"Richmond, KY",99972
"Annapolis, MD",39418
"West Point, NY",6763
"West Lafayette, IN",219239
"Madison, WI",654230
"Champaign-Urbana, IL",239124
"Twin Cities, MN",3600618
"Chicago, IL",9533040
"Fargo, ND",241356
"Janesville-Beloit, WI",100541
"Capital District, NY",98111
"Cedar Falls, IA",41390
"Ames, IA",66191
"Portland-South Portland, ME",66937
"Grinnell, IA",9151
"Iowa City, IA",171491
"Syracuse, NY",654841
"Galesburg, IL",30960
"Notre Dame, IN",321815
"Bloomington, IN",167825
"Des Moines, IA",215472
"Lincoln, NE",331519
"Columbia, MO",178271
"Burlington, VT",42260
"Lawrence, KS",120793
"Spokane, WA",564236
"Indianola, IA",15785
"Sewanee, TN",2311
"Blacksburg, VA",45038
"New Orleans, LA",1275762
"Greenville, SC",895923
"Nashville, TN",1903045
"Boulder, CO",322514
"Washington, DC Metro Area",6216589
"Austin, TX",2115827
"Oxford, MS",43975
"Knoxville, TN",877104
"St. Louis, MO",2807338
"Auburn, AL",161604
"Colorado Springs, CO",465101
"Greater Raleigh, NC",567428
"Fort Collins, CO",164207
"Denver, CO",2888227
"Athens, GA",209271
"Winston-Salem, NC",667733
"Baton Rouge, LA",834159
"Starkville, MS",25570
"Tuscaloosa, AL",242799
"Atlanta, GA",5884736
"Pittsburgh, PA",2333367
"Lebanon, TN",31317
"Cincinnati, OH",2179082
"Metro Detroit, MI",4313002
"Cedar Rapids, IA",131127
"Dallas-Fort Worth, TX",7399662
"Cleveland, OH",2058844
"Waco, TX",268696
"College Station, TX",258044
"Columbia, SC",825033
"Oklahoma City, OK",1383737
"Orono, ME",9548
"Lexington, VA",7045
"Columbus, OH",2078725
"Durham, NH",16431
"Gainesville, FL",284687
"Crawfordsville, IN",16001
"Waterville, ME",16406
"Calhoun County, AL",115620
"Salt Lake City, UT",1203105
"Hamilton, NY",4122
"Appleton, WI",74370
"Topeka, KS",126808
"Cheyenne, WY",98327
"Maryville, TN",28703
"Northwest Arkansas, AR",537463
"Springfield, MO",167319
"Birmingham Metro Area, AL",212157
"Macon-Bibb County, GA",93072
"Morgantown, WV",30855
"Chattanooga, TN",177571
"Toronto, ON",5928040
"Ottawa, ON",1323783
"Charleston Metro Area, SC",664607
"Richmond, VA",1294204
"Hamilton, ON",747545
"Edmonton, AB",1321426
"Regina, SK",236481
"Georgetown,TX",67140
"Jackson, MS",169148
"Manhattan, KS",53678
"Huntsville, TX",41208
"Logan, UT",50676
"Buckhannon, WV",5612
"Winnipeg, MB",778489
"Stillwater, OK",80850
"Spartanburg, SC",37876
"Houston, TX",6892427
"Lexington-Fayette, KY",512650
"San Francisco Bay Area, CA",4727357
"Corvallis, OR",90951
"Seattle,WA",3867046
"Eugene, OR",374748
"Montreal, QC",4098927
"Pullman, WA",33282
"Tulsa, OK",403090
"Vallejo-Fairfield, CA",440207
"Moscow, ID",25322
"Missoula, MT",117441
"East Lansing, MI",477656
"Mobile, AL",192904
"Quebec City, QC",538238
"Due West, SC",1292
"Danville, KY",16802
"Enid, OK",51004
"Quad Cities, IL",474937
"Dayton, OH",140489
"Hampden-Sydney, VA",1450
"Marion, OH",36310
"Evansville, IN",119477
"Rochester, NY",1077948
"Green Bay, WI",320050
"Louisville, KY",1283430
"Canton, OH",399927
"Akron, OH",197633
"Racine, WI",77571
"Buffalo, NY",256902
"Toledo, OH",278508
"Provo, UT",617675
"Greater Los Angeles, CA",13353907
"Columbus, GA",197485
"Williamsburg, VA",15214
"Milwaukee, WI",1576236
"Twin Ports, MN",279771
"Greeley, CO",103990
"Nacogdoches, TX",33932
"Walla Walla, WA",32132
"Bozeman, MT",94720
"Gulfport-Biloxi Metro Area, MS",246190
"Kansas City, MO",2128912
"Gunnison, CO",6261
"Pottsville, PA",13738
"Omaha, NE",446970
"Sarnia, ON",96151
"South Orange, NJ",16319
"Portsmouth, OH",20422
"Shreveport-Bossier City, LA",68485
"Tucson, AZ",1022769
"Las Cruces, NM",101759
"Metro Phoenix, AZ",4737270
"Flagstaff, AZ",71459
"Albuquerque, NM",559277
"Lubbock, TX",316983
"Indianapolis Metro Area, IN",2028614
"San Jose-Santa Clara, CA",1998463
"El Paso, TX",844818
"Greater Miami Area, FL",6158824
"Youngstown, OH",541926
"Huntington, WV",356474
"Allegany, NY",7662
"Baltimore, MD",2808175
"Wichita, KS",645628
"Peoria, IL",114265
"Oxford, OH",22341
"Kalamazoo, MI",75984
"Abilene, TX",122225
"Terre Haute, IN",60852
"Bowling Green, KY",174835
"Memphis, TN",652717
"Athens, OH",25341
"Valparaiso, IN",33104
"Amarillo, TX",199582
"Jacksonville, FL",880619
"Reno, NV",245255
"Trenton, NJ",84056
"Stockton, CA",745424
"Rockford, IL",147651
"Cookeville, TN",32622
"Inland Empire, CA",4200000
"Granville, OH",5646
"San Antonio, TX",2473974
"Pocatello, ID",85269
"Laramie, WY",32382
"Norwich-New London, CT",39556
"Gettysburg, PA",7700
"Calgary, AB",1392609
"Portland Metro Area, OR",2453168
"Wyoming Valley, PA",563631
"Fort Wayne, IN",264488
"Murray, KY",19006
"Tallahassee, FL",382627
"Vancouver, BC",2463431
"Morehead, KY",7758
"Johnstown, PA",19712
"Fresno, CA",989255
"Owensboro, KY",59273
"Murfreesboro, TN",131947
"Johnson City, TN",66677
"San Diego, CA",1407000
"Santa Maria-Santa Barbara, CA",106290
"Clarksville, TN-KY",153205
"Ogden-Clearfield, UT",547184
"Hattiesburg, MS",46926
"Tampa Bay Area, FL",3091399
"Greater Bridgeport, CT",305000
"Lakeland-Winter Haven, FL",666149
"Greenville, NC",91495
"Davis, CA",68111
"Jonesboro, AR",74889
"Sacramento, CA",495234
"Greater Orlando, FL",2134411
"Deltona-Daytona Beach-Ormond Beach, FL",623279
"Quantico, VA",540
"Battle Creek, MI",51534
"Kirksville, MO",17519
"Williamsport, PA",28834
"Springfield, OH",59087
"Lafayette, LA",127626
"Chestertown, MD",5080
"Pueblo, CO",110291
"Salisbury, MD",110291
"Charleston, WV",49138
"Brockport, NY",8319
"Wilmington, NC",117525
"West Chester, PA",19928
"Findlay, OH",41422
"Erie, PA",98593
"Carbondale, IL",125612
"Chico, CA",91567
"Edinburg, TX",87650
"Valley City, ND",87650
"Beaumont-Port Arthur, TX",388745
"Las Vegas, NV",2204079
"Honolulu, HI",988650
"Muncie, IN",69010
"Boise City, ID",709845
"Orangeburg, SC",13196
"Statesboro, GA",71214
"Normal, IL",54264
"Boone, NC",55423
"Old Westbury, NY",4743
"Harrison, NY",28340
"Harrisonburg, VA",134442
"Norfolk, VA",1725246
"Charlotte Metro Area, NC",2474314
"Mount Pleasant, MI",26313
"Lake Charles, LA",76848
"Monroe, LA",178445
"Dover, DE",37786
"Buies Creek, NC",2942
"Natchitoches, LA",18319
"Cullowhee, NC",9428
"Itta Bena, MS",1931
"Lorman, MS",1812
"Little Rock Metro, AR",738344
"Houma-Thibodaux, LA",208178
"Hammond, LA",20609
"Cleveland, MS",12101
"Utica-Rome, NY",299397
"Poughkeepsie, NY",30267
"San Marcos, TX",61980
"Charlestonâ€“Mattoon, IL",61980
"Macomb, IL",18352
"Cheyney, PA",988
"Montgomery, AL",200022
"Long Branch, NJ",30763
"Martin, TN",10768
"Bolivar, MO",10795
"Lynchburg, VA",80212
"Orange City, IA",6179
"Augusta Metro Area, GA-SC",583632
"Savannah, GA",146763
"Myrtle Beach Metro Area, SC",464165
"Asheville, NC",89121
"Emmitsburg, MD",3038
"Albany, GA",3038
"Cedar City, UT",31223
"Cape Girardeau, MO-IL",97422
"Troy, AL",19191
"Hilo, HI",43263
"Newburgh, NY",28200
"Stony Brook, NY",13740
"Pine Bluff, AR",43841
"Burlington, NC",52709
"Huntsville, AL",193079
"Piedmont Triad, NC",1640717
"Binghamton, NY",45672
"Corpus Christi, TX",325733
"Brookings, SD",23895
"Farmville, VA",8140
"Oskaloosa, IA",11523
"Florence, SC",38317
"Bakersfield, CA",376380
"Dubuque, IA",58531
"Cape Coral-Fort Myers, FL",77146
"Grand Forks, ND",57339
"Vermillion, SD",10844
